"Parallel Computing with Matlab","02/06/20","https://cal.lib.virginia.edu/event/6053629","Ed Hall"
"Shiny Web Apps in R","02/11/20","https://cal.lib.virginia.edu/event/6051162","Christina Gancayco"
"Software Containers for HPC Environments","02/13/20","https://cal.lib.virginia.edu/event/6051844","Ruoshi Sun"
"Statistical Methods in Matlab","02/13/20","https://cal.lib.virginia.edu/event/6053632","Ed Hall"
"Intro to Image Processing with Fiji/ImageJ","02/18/20","https://cal.lib.virginia.edu/event/6053709","Karsten Siller"
"Moving R to HPC","02/19/20","https://cal.lib.virginia.edu/event/6051434","Jackie Huband"
"High Performance Python","02/20/20","https://cal.lib.virginia.edu/event/6053009","Karsten Siller"
"Optimization Methods in Matlab","02/20/20","https://cal.lib.virginia.edu/event/6053637","Ed Hall"
"Automation of Image Processing with Fiji/ImageJ","02/25/20","https://cal.lib.virginia.edu/event/6053724","Karsten Siller"
"Optimizing R Code","02/26/20","https://cal.lib.virginia.edu/event/6051453","Jackie Huband"
"C/C++ and Fortran on Rivanna","02/27/20","https://cal.lib.virginia.edu/event/6053096","Ruoshi Sun"
"Deep Learning in Matlab","02/27/20","https://cal.lib.virginia.edu/event/6053662","Christina Gancayco"
"Parallelizing R","03/04/20","https://cal.lib.virginia.edu/event/6051476","Jackie Huband"
"Image Processing in Matlab","03/05/20","https://cal.lib.virginia.edu/event/6053674","Christina Gancayco"
"Parallel R with MPI","03/18/20","https://cal.lib.virginia.edu/event/6051480","Jackie Huband"
"Julia on Rivanna","03/26/20","https://cal.lib.virginia.edu/event/6053128","Ed Hall"
"Image Processing with Fiji and Omero","04/30/20","https://cal.lib.virginia.edu/","Karsten Siller"
"Sample Workshop","08/04/20","https://cal.lib.virginia.edu/","Neal Magee"
